t_start_utc,file,keyword,count,from_cache,server,latency_ms,source_file
2025-10-22T00:50:52.566160,shrek,SHREK,433,True,3235342dfdf1,4.488992999995389,latency-4268402daa7d.csv
2025-10-22T00:50:53.076295,shrek,who,29,True,3235342dfdf1,4.791877000002387,latency-4268402daa7d.csv
2025-10-22T00:50:53.585997,grail,the,1600,True,3235342dfdf1,5.259732000013173,latency-4268402daa7d.csv
2025-10-22T00:50:54.097137,grail,from,94,True,1ae65fa4046a,7.044446000008975,latency-4268402daa7d.csv
2025-10-22T00:50:54.610490,shrek3,JOCKS,2,True,1ae65fa4046a,6.065610999939963,latency-4268402daa7d.csv
2025-10-22T00:50:55.123080,shrek,the,535,True,1ae65fa4046a,8.963615000084246,latency-4268402daa7d.csv
2025-10-22T00:50:55.642187,shrek,lay,2,True,1ae65fa4046a,2587.669458999926,latency-4268402daa7d.csv
2025-10-22T00:50:58.736224,shrek,FIONA,211,True,1ae65fa4046a,4.660996999973577,latency-4268402daa7d.csv
2025-10-22T00:50:59.247105,grail,sell,1,True,1ae65fa4046a,4.875605999927757,latency-4268402daa7d.csv
2025-10-22T00:50:59.757928,shrek3,Final,119,True,1ae65fa4046a,3.984758000001421,latency-4268402daa7d.csv
2025-10-22T00:51:00.267091,grail,Who’s,3,True,1ae65fa4046a,4.947307999941586,latency-4268402daa7d.csv
2025-10-22T00:51:00.779460,grail,Cleese,10,True,1ae65fa4046a,5.348768999965614,latency-4268402daa7d.csv
2025-10-22T00:51:01.291600,grail,pause,10,True,1ae65fa4046a,5.294952999975067,latency-4268402daa7d.csv
2025-10-22T00:51:01.802795,shrek,No,114,True,1ae65fa4046a,5.207294999991063,latency-4268402daa7d.csv
2025-10-22T00:51:02.313759,shrek3,Cinderella,21,True,1ae65fa4046a,4.742094999983237,latency-4268402daa7d.csv
2025-10-22T00:51:02.824217,grail,ANOTHER,25,True,1ae65fa4046a,4.710474000034992,latency-4268402daa7d.csv
2025-10-22T00:51:03.334957,shrek3,wont,0,True,1ae65fa4046a,4.693711000072653,latency-4268402daa7d.csv
2025-10-22T00:51:03.845702,shrek,FIONA,211,True,1ae65fa4046a,4.689810000058969,latency-4268402daa7d.csv
2025-10-22T00:51:04.356461,shrek3,SNOW,49,True,1ae65fa4046a,4.800989999921512,latency-4268402daa7d.csv
2025-10-22T00:51:04.867631,shrek3,showing,1,True,1ae65fa4046a,4.635520999954679,latency-4268402daa7d.csv
2025-10-22T00:51:05.380129,shrek3,Whoa,7,True,1ae65fa4046a,7.049048999988372,latency-4268402daa7d.csv
2025-10-22T00:51:05.899103,shrek3,RAPUNZEL,30,True,1ae65fa4046a,4.765389999988656,latency-4268402daa7d.csv
2025-10-22T00:51:06.410076,shrek,What,104,True,1ae65fa4046a,4.604659999927208,latency-4268402daa7d.csv
2025-10-22T00:51:06.920295,shrek3,wont,0,True,1ae65fa4046a,3.967646999967656,latency-4268402daa7d.csv
2025-10-22T00:51:07.429083,shrek3,PRINCE,207,True,1ae65fa4046a,4.440322000050401,latency-4268402daa7d.csv
2025-10-22T00:51:07.939250,shrek3,Uh,18,True,1ae65fa4046a,4.135209999958533,latency-4268402daa7d.csv
2025-10-22T00:51:08.449304,shrek3,the,1285,True,1ae65fa4046a,5.067404999977043,latency-4268402daa7d.csv
2025-10-22T00:51:08.960625,shrek3,Hold,8,True,1ae65fa4046a,4.872894999948585,latency-4268402daa7d.csv
2025-10-22T00:51:09.472115,grail,to,718,True,1ae65fa4046a,4.47616899998593,latency-4268402daa7d.csv
2025-10-22T00:51:09.982540,shrek3,JOCKS,2,True,1ae65fa4046a,5.096624999964661,latency-4268402daa7d.csv
2025-10-22T00:51:10.493841,shrek3,flaming,2,True,1ae65fa4046a,4.611025000031077,latency-4268402daa7d.csv
2025-10-22T00:51:11.004598,shrek3,with,112,True,1ae65fa4046a,4.987335000009807,latency-4268402daa7d.csv
